"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2016","39.51","39.51","39.51","39.51","","-15.67%"
"06/01/2016","46.85","46.85","46.85","46.85","","-1.80%"
"05/01/2016","47.71","47.71","47.71","47.71","","7.60%"
"04/01/2016","44.34","44.34","44.34","44.34","","23.13%"
"03/01/2016","36.01","36.01","36.01","36.01","","6.01%"
"02/01/2016","33.97","33.97","33.97","33.97","","7.19%"
"01/01/2016","31.69","31.69","31.69","31.69","","-9.87%"
"12/01/2015","35.16","35.16","35.16","35.16","","-18.00%"
"11/01/2015","42.88","42.88","42.88","42.88","","-7.59%"
"10/01/2015","46.40","46.40","46.40","46.40","","1.00%"
"09/01/2015","45.94","45.94","45.94","45.94","","-2.40%"
"08/01/2015","47.07","47.07","47.07","47.07","","-9.20%"
"07/01/2015","51.84","51.84","51.84","51.84","","-13.97%"
"06/01/2015","60.26","60.26","60.26","60.26","","-3.37%"
"05/01/2015","62.36","62.36","62.36","62.36","","-1.17%"
"04/01/2015","63.10","63.10","63.10","63.10","","20.33%"
"03/01/2015","52.44","52.44","52.44","52.44","","-13.31%"
"02/01/2015","60.49","60.49","60.49","60.49","","27.03%"
"01/01/2015","47.62","47.62","47.62","47.62","","-10.86%"
"12/01/2014","53.42","53.42","53.42","53.42","","-25.17%"
"11/01/2014","71.39","71.39","71.39","71.39","","-14.32%"
"10/01/2014","83.32","83.32","83.32","83.32","","-10.14%"
"09/01/2014","92.72","92.72","92.72","92.72","","-7.62%"
"08/01/2014","100.37","100.37","100.37","100.37","","-4.45%"
"07/01/2014","105.04","105.04","105.04","105.04","","-3.88%"
"06/01/2014","109.28","109.28","109.28","109.28","","2.31%"
"05/01/2014","106.81","106.81","106.81","106.81","","-0.81%"
"04/01/2014","107.68","107.68","107.68","107.68","","2.41%"
"03/01/2014","105.15","105.15","105.15","105.15","","-2.76%"
"02/01/2014","108.13","108.13","108.13","108.13","","0.76%"
"01/01/2014","107.31","107.31","107.31","107.31","","-1.32%"
"12/01/2013","108.75","108.75","108.75","108.75","","-1.78%"
"11/01/2013","110.72","110.72","110.72","110.72","","3.98%"
"10/01/2013","106.48","106.48","106.48","106.48","","-0.49%"
"09/01/2013","107.00","107.00","107.00","107.00","","-7.58%"
"08/01/2013","115.77","115.77","115.77","115.77","","6.66%"
"07/01/2013","108.54","108.54","108.54","108.54","","6.10%"
"06/01/2013","102.30","102.30","102.30","102.30","","2.32%"
"05/01/2013","99.98","99.98","99.98","99.98","","-1.39%"
"04/01/2013","101.39","101.39","101.39","101.39","","-5.74%"
"03/01/2013","107.56","107.56","107.56","107.56","","-1.60%"
"02/01/2013","109.31","109.31","109.31","109.31","","-5.63%"
"01/01/2013","115.83","115.83","115.83","115.83","","5.68%"
"12/01/2012","109.60","109.60","109.60","109.60","","-0.63%"
"11/01/2012","110.29","110.29","110.29","110.29","","0.77%"
"10/01/2012","109.45","109.45","109.45","109.45","","-0.37%"
"09/01/2012","109.86","109.86","109.86","109.86","","-3.36%"
"08/01/2012","113.68","113.68","113.68","113.68","","7.31%"
"07/01/2012","105.94","105.94","105.94","105.94","","13.40%"
"06/01/2012","93.42","93.42","93.42","93.42","","-7.52%"
"05/01/2012","101.02","101.02","101.02","101.02","","-13.96%"
"04/01/2012","117.41","117.41","117.41","117.41","","-2.81%"
"03/01/2012","120.81","120.81","120.81","120.81","","-0.31%"
"02/01/2012","121.18","121.18","121.18","121.18","","9.61%"
"01/01/2012","110.56","110.56","110.56","110.56","","4.46%"
"12/01/2011","105.84","105.84","105.84","105.84","","-5.09%"
"11/01/2011","111.52","111.52","111.52","111.52","","2.66%"
"10/01/2011","108.63","108.63","108.63","108.63","","4.33%"
"09/01/2011","104.12","104.12","104.12","104.12","","-10.30%"
"08/01/2011","116.08","116.08","116.08","116.08","","1.80%"
"07/01/2011","114.03","114.03","114.03","114.03","","3.70%"
"06/01/2011","109.96","109.96","109.96","109.96","","-3.71%"
"05/01/2011","114.20","114.20","114.20","114.20","","-7.15%"
"04/01/2011","122.99","122.99","122.99","122.99","","8.72%"
"03/01/2011","113.13","113.13","113.13","113.13","","2.41%"
"02/01/2011","110.47","110.47","110.47","110.47","","16.20%"
"01/01/2011","95.07","95.07","95.07","95.07","","3.70%"
"12/01/2010","91.68","91.68","91.68","91.68","","7.61%"
"11/01/2010","85.20","85.20","85.20","85.20","","5.29%"
"10/01/2010","80.92","80.92","80.92","80.92","","1.68%"
"09/01/2010","79.58","79.58","79.58","79.58","","5.53%"
"08/01/2010","75.41","75.41","75.41","75.41","","-0.91%"
